text,font_size,bold,italic,alignment,word_count,char_count,uppercase_ratio,starts_with_number,starts_with_chapter,starts_with_figure,starts_with_table,has_citation,position_ratio,label
Principles of Quantum Computing and Information Systems,18.0,1,0,1,7,55,0.091,0,0,0,0,0,0.0011,TITLE
A Comprehensive Guide to Modern Distributed Systems and Cloud Architecture,20.0,1,0,0,10,74,0.108,0,0,0,0,0,0.0115,TITLE
Machine Learning Foundations: From Statistical Inference to Neural Networks,16.0,1,0,1,9,75,0.107,0,0,0,0,0,0.0063,TITLE
Advances in Applied Linguistics and Computational Natural Language Processing,16.0,1,0,1,9,77,0.091,0,0,0,0,0,0.0055,TITLE
The Evolution of High-Performance Scientific Computing,24.0,1,0,1,6,54,0.111,0,0,0,0,0,0.0003,TITLE
Stochastic Processes and Financial Mathematics for Modern Economics,16.0,1,0,1,8,67,0.09,0,0,0,0,0,0.0184,TITLE
"Autonomous Robotics: Navigation, Perception and Control Systems",18.0,1,0,1,7,63,0.095,0,0,0,0,0,0.0093,TITLE
Biochemical Engineering and Cellular Metabolic Networks,20.0,1,0,1,6,55,0.091,0,0,0,0,0,0.0134,TITLE
Contemporary Perspectives in European Economic History,18.0,1,0,0,6,54,0.093,0,0,0,0,0,0.0182,TITLE
Modern Cryptographic Protocols and Zero-Knowledge Proof Systems,20.0,1,0,0,7,63,0.111,0,0,0,0,0,0.016,TITLE
"Dr. Elizabeth J. Henderson, Professor of Computer Science, MIT",11.0,1,0,1,9,62,0.161,0,0,0,0,0,0.0338,AUTHOR
"Marcus Vance, Ph.D. and Sarah Lindqvist, Department of Mathematics, Stanford University",11.0,1,0,0,11,87,0.115,0,0,0,0,0,0.0279,AUTHOR
"Prof. Alexander Chen, Institute for Advanced Study, Princeton",10.0,1,1,0,8,61,0.115,0,0,0,0,0,0.026,AUTHOR
"Elena Rostova, M.Sc., Johannes Gutenberg University Mainz",10.0,0,1,1,7,57,0.14,0,0,0,0,0,0.0112,AUTHOR
"David K. Miller, Senior Research Fellow, Alan Turing Institute, London",12.0,0,1,1,10,70,0.143,0,0,0,0,0,0.0164,AUTHOR
"Prof. Hiroshi Tanaka & Dr. Kenji Sato, University of Tokyo",12.0,0,1,1,10,58,0.138,0,0,0,0,0,0.0153,AUTHOR
"Amara Okafor, Ph.D., Department of Physics, Oxford University",11.0,0,1,0,8,61,0.131,0,0,0,0,0,0.0295,AUTHOR
"Dr. Robert J. Oppenheim and Prof. Claire Delacroix, Sorbonne Université",12.0,1,0,0,10,71,0.127,0,0,0,0,0,0.0167,AUTHOR
"J. K. Rowling and Arthur Conan Doyle, Literary Research Society",12.0,0,1,1,10,63,0.143,0,0,0,0,0,0.032,AUTHOR
"Benjamin S. Franklin and Marie Curie, Laboratory of Physical Chemistry",12.0,0,1,0,10,70,0.114,0,0,0,0,0,0.0196,AUTHOR
Chapter 1: Introduction to Offline Document Processing Systems,18.0,1,0,1,8,62,0.097,0,1,0,0,0,0.821,CHAPTER_HEADING
Chapter 1: Introduction to Offline Document Processing Systems,18.0,1,0,1,8,62,0.097,0,1,0,0,0,0.4284,CHAPTER_HEADING
Chapter 1: Introduction to Offline Document Processing Systems,14.0,1,0,0,8,62,0.097,0,1,0,0,0,0.7767,CHAPTER_HEADING
Chapter 2: Mathematical Foundations and Linear Algebra Primitives,15.0,1,0,0,8,65,0.092,0,1,0,0,0,0.3671,CHAPTER_HEADING
Chapter 2: Mathematical Foundations and Linear Algebra Primitives,16.0,1,0,0,8,65,0.092,0,1,0,0,0,0.3552,CHAPTER_HEADING
Chapter 2: Mathematical Foundations and Linear Algebra Primitives,18.0,1,0,0,8,65,0.092,0,1,0,0,0,0.1442,CHAPTER_HEADING
CHAPTER 3: STATISTICAL INFERENCE AND MAXIMUM LIKELIHOOD ESTIMATION,14.0,1,0,0,8,66,0.864,0,1,0,0,0,0.3358,CHAPTER_HEADING
CHAPTER 3: STATISTICAL INFERENCE AND MAXIMUM LIKELIHOOD ESTIMATION,18.0,1,0,1,8,66,0.864,0,1,0,0,0,0.8055,CHAPTER_HEADING
CHAPTER 3: STATISTICAL INFERENCE AND MAXIMUM LIKELIHOOD ESTIMATION,16.0,1,0,1,8,66,0.864,0,1,0,0,0,0.3764,CHAPTER_HEADING
Chapter IV: High-Dimensional Feature Extraction and Representation,15.0,1,0,1,7,66,0.121,0,1,0,0,0,0.5746,CHAPTER_HEADING
Chapter IV: High-Dimensional Feature Extraction and Representation,16.0,1,0,1,7,66,0.121,0,1,0,0,0,0.7979,CHAPTER_HEADING
Chapter IV: High-Dimensional Feature Extraction and Representation,15.0,1,0,0,7,66,0.121,0,1,0,0,0,0.6154,CHAPTER_HEADING
Chapter 5: Architectural Patterns in Scalable Software Engineering,15.0,1,0,0,8,66,0.091,0,1,0,0,0,0.3848,CHAPTER_HEADING
Chapter 5: Architectural Patterns in Scalable Software Engineering,18.0,1,0,1,8,66,0.091,0,1,0,0,0,0.349,CHAPTER_HEADING
Chapter 5: Architectural Patterns in Scalable Software Engineering,15.0,1,0,1,8,66,0.091,0,1,0,0,0,0.4035,CHAPTER_HEADING
